STT,Mã dự án,Tên dự án,Mentor,Mô tả 
1,P1,Hệ thống kiểm soát ra vào sử dụng IoT platform và công nghệ nhận dạng khuôn mặt,Nguyễn Hoàng Long,"Thiết kế và triển khai hệ thống kiểm soát ra vào sử dụng nền tảng IoT, tích hợp các công nghệ RFID, AI nhận dạng khuôn mặt.
Xây dựng phần mềm quản lý, giám sát thời gian thực, lưu trữ và phân tích dữ liệu"
2,P2,Phần mềm quản lý giám sát máy tính trong phòng thi ,Hoàng Việt Dũng,"Thiết kế hệ thống máy chủ (máy giám sát) trong phòng thi với các tính năng: Giám sát hoạt động của các máy tính, phát hiện và cảnh báo vi phạm, quản lý tường lửa, cấu hình quản lý theo thời gian"
3,P3,Phần mềm mô phỏng lây lan mã độc nhằm nâng cao sự cảnh giác của người dùng,Nguyễn Quốc Khánh,"Xây dựng một nhóm mã độc lành tính (không gây hại) những giữ nguyên khả năng lấy nhiễm.
Xây dựng các kịch bản và thông báo khi mã độc hoạt động (click vào quảng cáo, cắm USB vào máy tính lạ,) nhằm nâng cáo tính cảnh giác của người dùng."
4,P4,"Hệ thống điểm danh sinh viên tự động sử dụng IoT platform với công nghệ RFID, QR code, nhận dạng khuôn mặt",Mai Xuân Ngọc,"Xây dựng giải pháp điểm danh tự động bằng thẻ sinh viên sử dụng công nghệ RFID
Xây dựng phần mềm quản lý dữ liệu điểm danh"
5,P5,Phần mềm thiết lập an ninh trong giám sát thi tại phòng máy,Mai Xuân Ngọc,"Xây dựng phần mềm ở phía máy tính client cho phép nhận lệnh điều khiển từ quản trị viên, thực thi các lệnh để cấu hình, kiểm soát truy cập mạng, giám sát các máy tính trong phòng máy"
6,P6,Trợ lý ảo hỗ trợ tạo lộ trình học tập tự động sử dụng mô hình ngôn ngữ lớn,Nguyễn Sơn Tùng,"Thiết kế các AI Agent hỗ trợ xây dựng kiến thức nền tảng, lộ trình học, bài tập thực hành và tài nguyên tham khảo
Xây dựng luồng phối hợp hoạt động giữa các Agents.
Tự động biên soạn và lưu trữ tất cả nội dung trong Google Docs."
7,P7,Trợ lý ảo hỗ trợ việc học lập trình cho sinh viên,Lê Hải Nam,"Xậy dựng trợ lý ảo hỏi đáp, sửa lỗi, đánh giá feedback cho sinh viên trong quá trình code. Tích hợp vào các IDE như Visual Code "
8,P8,Ứng dụng trợ lý sức khỏe tinh thần bằng AI,Hồ Viết Đức Lương,"Một chatbot AI giúp hỗ trợ tâm lý, đưa ra lời khuyên dựa trên dữ liệu khoa học, giúp người dùng cải thiện sức khỏe tinh thần."
9,P9,Hệ thống phát hiện lưu lượng mã độc trong mạng,Trần Đình Kiến Giang,Ứng dụng phát hiện lưu lượng mã độc trong mạng
10,P10,"Ứng dụng hỗ trợ sinh viên truy vấn tài liệu, giải đáp thắc mắc trong quá trình học tập",Bùi Trọng Đức,"Truy vấn thông tin từ công văn, tài liệu, ..., hỗ trợ giải đáp các thắc mắc của sinh viên"
11,P11,Ứng dụng quản lý học tập cho sinh viên sử dụng AI,Trần Thị Lan Anh,"Ứng dụng quản lý thời khóa biểu học tập, deadline bài tập, lịch thi, giúp sinh viên tổ chức kế hoạch học tập hiệu quả
Quản lý tài liệu học tập, đề xuất tài liệu tự động dựa trên môn học và nhu cầu học tập. Nhắc nhở, thông báo thời gian học, nghỉ ngơi, và tiến độ công việc để tránh căng thẳng"
